Fri Jun  3 10:41:28 2022    output.dat

         72475006 function calls in 414.770 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 /Applications/PyCharm CE.app/Contents/plugins/python-ce/helpers/pydev/pydevd_file_utils.py:228(_NormPaths)
        1    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:388(realpath)
        3    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 /Applications/PyCharm CE.app/Contents/plugins/python-ce/helpers/pydev/pydevd_file_utils.py:542(_is_int)
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 /Applications/PyCharm CE.app/Contents/plugins/python-ce/helpers/pydev/pydevd_file_utils.py:550(is_real_file)
        2    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/codecs.py:260(__init__)
        4    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        2    0.000    0.000    0.000    0.000 /Applications/PyCharm CE.app/Contents/plugins/python-ce/helpers/pydev/pydevd_file_utils.py:182(normcase)


